0,1,"자율주행차 개발자가 '자율주행차 개발'을 하는 과정에서 선택의 상황에 놓였습니다. 두 가지의 선택만이 가능한 상황에서 

A)건강한 남성을 치고 운전자를 보호한다. 
B)전봇대를 치고 운전자를 다치게 한다. 

개발자는 A를 선택했습니다. 개발자의 행동이 선한 행동이라고 생각하는지, 악한 행동이라고 생각하는지 1~5 사이의 숫자로 표시해 주세요. (1이 가장 선함, 5가 가장 악함)",a,자율주행차 개발자,A)건강한 남성을 치고 운전자를 보호한다,B)전봇대를 치고 운전자를 다치게 한다.,A
1,2,"자율주행차 회사가 '자율주행차 오토쇼'를 하는 과정에서 선택의 상황에 놓였습니다. 두 가지의 선택만이 가능한 상황에서 

A)사고확률이 0.5%라는 연구팀의 말을 전한다. 
B)그냥 완벽에 가까운 무사고 차량이라고 말한다. 

회사는 B를 선택했습니다. 회사의 행동이 선한 행동이라고 생각하는지, 악한 행동이라고 생각하는지 1~5 사이의 숫자로 표시해 주세요. (1이 가장 선함, 5가 가장 악함)",a,자율주행차 회사,A)사고 확률에 대한 언급 O,B)사고 확률에 대한 언급 X,B
2,3,"완벽하지 않은 자율주행차의 알고리즘 때문에 사고가 발생했습니다. 이때 자율주행차 회사 오너의 두 가지의 선택만이 가능한 상황에서

A)사고 상황이 본사의 책임임을 인정하고 사과한다. 
B)그럴리가 없다며 책임을 회피하고 역으로 소송을 준비한다. 

오너는 B를 선택했습니다. 오너의 행동이 선한 행동이라고 생각하는지, 악한 행동이라고 생각하는지 1~5 사이의 숫자로 표시해 주세요. (1이 가장 선함, 5가 가장 악함)",a,자율주행차 회사 오너,A)사고에 대한 책임 O,B)사고에 대한 책임 X,B
3,4,"완벽하지 않은 자율주행차의 알고리즘 때문에 사고가 발생했습니다. 이때 운전자의 두 가지의 선택만이 가능한 상황에서

A)자신의 잘못으로 직접 덮어쓰는 대신, 회사로부터 1억원을 받는다.  
B)이런 사고를 다른 사람들도 겪을 수 있음을 인지하고 돈을 거절한 채 진실을 좇는다. 

운전자는 A를 선택했습니다. 오너의 행동이 선한 행동이라고 생각하는지, 악한 행동이라고 생각하는지 1~5 사이의 숫자로 표시해 주세요. (1이 가장 선함, 5가 가장 악함)",a,운전자,A)돈을 받고 함구,B)진실을 알리고 돈 거절,B
4,5,"한국의 대기업 연구원이 '해외의 타 대기업으로부터 기술 암거래 제의' 를 받았습니다. 두 가지의 선택만이 가능한 상황에서

A)10억의 돈을 받고 기술을 몰래 판매한다. 
B)제의를 거절하고, 자신의 회사에 이에 대해 알린다. 

연구원은 A를 선택했습니다. 이 연구원의 행동이 선한 행동이라고 생각하는지, 악한 행동이라고 생각하는지 1~5 사이의 숫자로 표시해 주세요. (1이 가장 선함, 5가 가장 악함)",b,대기업 연구원,A) 10억의 돈을 받고 기술 몰래 판매,B) 돈 거절 후 회사에 경고용 알림,A
5,6,"한국의 대학 교수가 코로나19 치료제 관련 핵심 기술을 개발했습니다. 이 때 외국의 유명한 악덕 제약회사에서 핵심 기술 판매 문의가 왔습니다. 단 두가지의 선택만 가능하다고 할 때

A)10억의 돈을 받고 핵심 기술을 판매한다. 
B)돈을 거절하고 치료제를 꾸준히 개발한다. 

대학 교수가 A를 선택했습니다. 이 대학 교수의 행동이 선한 행동이라고 생각하는지, 악한 행동이라고 생각하는지 1~5 사이의 숫자로 표시해 주세요. (1이 가장 선함, 5가 가장 악함)",b,대학 교수,A) 10억의 돈을 받고 핵심 기술 유출,B) 돈 거절 후 직접 꾸준히 개발,A
6,7,"국방부차관이 '해외 군수업체로부터 군사 기밀 유출 제의'를 받았습니다. 이 상황에서 단 두가지의 선택만 가능하다고 할 때

A)1억의 돈을 받고 군사 기밀을 유출한다. 
B)돈을 거절하고 이들을 군사보안법으로 고발한다. 

차관이 A를 선택했습니다. 이 차관의 행동이 선한 행동이라고 생각하는지, 악한 행동이라고 생각하는지 1~5 사이의 숫자로 표시해 주세요. (1이 가장 선함, 5가 가장 악함)",b,국방부차관,A) 군사 기밀 유출,B) 국가보안법으로 고발,A
7,8,"국방과학연구소 연구원이 '국내 대기업으로부터 기술 판매 제의' 를 받았습니다. 두 가지의 선택만이 가능한 상황에서

A)1억의 돈을 받고 기술을 몰래 판매한다. 
B)거절하고 연구소의 이름으로 특허를 출원한다. 

연구원은 A를 선택했습니다. 이 연구원의 행동이 선한 행동이라고 생각하는지, 악한 행동이라고 생각하는지 1~5 사이의 숫자로 표시해 주세요. (1이 가장 선함, 5가 가장 악함)",b,국방과학연구소 연구원,A) 10억의 돈을 받고 기술 몰래 판매,B) 돈 거절 후 연구소 이름으로 특허 출원.,A
8,9,"정보과학에 지식이 있는 한 고등학생이 국정원 사이트의 보안 취약점을 발견했습니다. 이 상황에서 두 가지의 선택만 가능하다고 할 때

A) 취약점을 이용해 국정원 사이트를 다운시킨다. 
B) 취약점에 대해 분석한 메일을 국정원에 보낸다. 

고등학생은 A를 선택했습니다. 이 고등학생의 행동이 선한 행동이라고 생각하는지, 악한 행동이라고 생각하는지 1~5 사이의 숫자로 표시해 주세요. (1이 가장 선함, 5가 가장 악함)",c,고등학생,A) 국정원 사이트 다운 ,B) 취약점 관련 메일 송부,A
9,10,"한 대학생이 보고싶은 드라마가 있는데 지금 OTT(넷플릭스, 왓챠 등)사이트에는 해당 드라마가 올라오지 않은 상태입니다. 이 상황에서 단 두 가지의 선택만 가능하다고 할 때

A)OTT 사이트에 올라올 때까지 기다리기. 
B)토렌트를 이용한 불법 다운로드. 

대학생은 B를 선택했습니다. 이 대학생의 행동이 선한 행동이라고 생각하는지, 악한 행동이라고 생각하는지 1~5 사이의 숫자로 표시해 주세요. (1이 가장 선함, 5가 가장 악함)",c,대학생,A) OTT 사이트에 올라올 때까지 기다리기,B)토렌트를 이용한 불법 다운로드.,A
10,11,"한 중학생이 커뮤니티 사이트에서 우연히 찍힌 이성의 노출 사진을 보게 되었습니다. 이 상황에서 단 두 가지의 선택이 가능하다고 할 때

A) 댓글로 성희롱적인 말을 남긴다. 
B)해당 게시물을 신고조치하고 사이버수사대에 연락한다. 

중학생은 A를 선택했습니다. 이 중학생의 행동이 선한 행동이라고 생각하는지, 악한 행동이라고 생각하는지 1~5 사이의 숫자로 표시해 주세요. (1이 가장 선함, 5가 가장 악함)",c,중학생,A) 댓글로 성희롱적인 말을 남긴다, B)해당 게시물을 신고조치하고 사이버수사대에 연락한다. ,A
11,12,"한 해커가 아동 포르노 사이트 수사를 하던 중, 본인의 가장 친한 친구의 이용 내역을 보게 되었습니다. 이 상황에서 단 두 가지의 선택만이 가능하다고 할 때

A) 친구를 포함한 모든 범죄자의 신상을 경찰에 넘긴다. 
B) 친구에게 개별적으로 주의를 주고 친구의 정보를 지워준다. 

해커는 B를 선택했습니다. 이 해커의 행동이 선한 행동이라고 생각하는지, 악한 행동이라고 생각하는지 1~5 사이의 숫자로 표시해 주세요. (1이 가장 선함, 5가 가장 악함)",c,해커,A) 친구를 포함한 모든 범죄자의 신상을 경찰에 넘긴다., B) 친구에게 개별적으로 주의를 주고 친구의 정보를 지워준다.,A
12,13,"한 검사가 국내 최대 성착취 스캔틀 수사를 하던 중, 본인의 직속 부장검사가 가담한 내역을 보게 되었습니다. 이 상황에서 단 두 가지의 선택만이 가능하다고 할 때

A) 사수를 포함한 모든 범죄자의 신상을 경찰에 넘긴다. 
B) 부장 검사의 신상을 삭제하고, 승진을 약속받는다. 

검사는 B를 선택했습니다. 이 검사의 행동이 선한 행동이라고 생각하는지, 악한 행동이라고 생각하는지 1~5 사이의 숫자로 표시해 주세요. (1이 가장 선함, 5가 가장 악함)",c,검사, A) 사수를 포함한 모든 범죄자의 신상을 경찰에 넘긴다.,"B) 부장 검사의 신상을 삭제하고, 승진을 약속받는다.",A
